zcta,ccvi_score,ccvi_category
60625,25.5,LOW
60612,31.7,MEDIUM
60641,36.1,MEDIUM
60646,24.6,LOW
60636,62.5,HIGH
60653,34.9,MEDIUM
60617,47,MEDIUM
60602,8.3,LOW
60631,27.7,LOW
60647,28.8,LOW
60608,40.1,MEDIUM
60661,20,LOW
60613,12.9,LOW
60707,51.7,HIGH
60642,17,LOW
60643,40.5,MEDIUM
60609,51.9,HIGH
60626,31,LOW
60616,27.7,LOW
60621,53.3,HIGH
60634,34.9,MEDIUM
60652,45.6,MEDIUM
60601,8.3,LOW
60620,48.1,HIGH
60657,5.1,LOW
60827,35.6,MEDIUM
60656,25.5,LOW
60630,30.8,LOW
60644,52.9,HIGH
60610,11.9,LOW
60639,51.3,HIGH
60605,11.7,LOW
60622,19.8,LOW
60628,48.8,HIGH
60615,28.7,LOW
60633,44.8,MEDIUM
60659,37.4,MEDIUM
60604,8.3,LOW
60638,46.6,MEDIUM
60651,52.5,HIGH
60619,46.5,MEDIUM
60655,32.2,MEDIUM
60623,58.3,HIGH
60611,11.7,LOW
60629,53.4,HIGH
60640,21.2,LOW
60645,35.7,MEDIUM
60606,13.1,LOW
60632,52.3,HIGH
60654,13.6,LOW
60603,8.3,LOW
60618,21.5,LOW
60660,19.5,LOW
60614,8.5,LOW
60637,36.4,MEDIUM
60649,44.6,MEDIUM
60607,19.5,LOW
60624,50.1,HIGH
