ZCTA5,WeekNo,StartDate,EndDate,CasesWk,CasesCm,CasesWkRt,CasesCmRt,TestsWk,TestsCm,TestsWkRt,TestsCmRt,PctPosWk,PctPosCum,DeathsWk,DeathsCm,DeathsWkRt,DeathsCmRt,TotPop,RowID
60601,70,2021-05-03,2021-05-09,5,1082,34,7373.1,766,27872,5220,189928.4,0,0,0,11,0,75,14675,60601-2021-18
60602,70,2021-05-03,2021-05-09,0,106,0,8520.9,82,2606,6592,209485.5,0,0,0,2,0,160.8,1244,60602-2021-18
60603,70,2021-05-03,2021-05-09,1,79,85,6729.1,84,2633,7155,224276,0,0,0,0,0,0,1174,60603-2021-18
60604,70,2021-05-03,2021-05-09,1,109,128,13938.6,239,3530,30563,451406.6,0,0,0,0,0,0,782,60604-2021-18
60605,70,2021-05-03,2021-05-09,4,1940,14,7049.7,1105,45721,4015,166143.4,0,0,0,11,0,40,27519,60605-2021-18
60606,70,2021-05-03,2021-05-09,2,321,64,10351.5,214,8925,6901,287810.4,0,0.1,0,3,0,96.7,3101,60606-2021-18
60607,70,2021-05-03,2021-05-09,25,2657,84,8979.1,1501,64902,5072,219330.2,0,0,0,8,0,27,29591,60607-2021-18
60608,70,2021-05-03,2021-05-09,49,8048,62,10161,2239,106870,2827,134928.4,0,0.1,0,139,0,175.5,79205,60608-2021-18
60609,70,2021-05-03,2021-05-09,72,7276,117,11831.9,1434,77761,2332,126450.9,0.1,0.1,0,143,0,232.5,61495,60609-2021-18
60610,70,2021-05-03,2021-05-09,30,3520,77,9021.2,1391,71030,3565,182039.5,0,0.1,0,32,0,82,39019,60610-2021-18
60611,70,2021-05-03,2021-05-09,14,2286,43,7049.9,1134,54835,3497,169108.1,0,0,1,16,3.1,49.3,32426,60611-2021-18
60612,70,2021-05-03,2021-05-09,64,3514,186,10241.6,2164,79780,6307,232520.2,0,0.1,2,67,5.8,195.3,34311,60612-2021-18
60613,70,2021-05-03,2021-05-09,17,3872,34,7726.5,1758,89382,3508,178360.9,0,0,0,48,0,95.8,50113,60613-2021-18
60614,70,2021-05-03,2021-05-09,23,5878,32,8243.1,2193,141737,3075,198767.3,0,0,0,91,0,127.6,71308,60614-2021-18
60615,70,2021-05-03,2021-05-09,38,2377,91,5719,1979,82633,4761,198813.8,0,0,3,39,7.2,93.8,41563,60615-2021-18
60616,70,2021-05-03,2021-05-09,40,3782,73,6944,1739,78823,3193,144725,0,0.1,2,94,3.7,172.6,54464,60616-2021-18
60617,70,2021-05-03,2021-05-09,94,8035,114,9735.4,1828,87957,2215,106570.6,0.1,0.1,2,161,2.4,195.1,82534,60617-2021-18
60618,70,2021-05-03,2021-05-09,85,8467,90,8969.8,2537,127642,2688,135221.1,0,0.1,2,120,2.1,127.1,94395,60618-2021-18
60619,70,2021-05-03,2021-05-09,101,4755,165,7762.3,1961,71399,3201,116554.6,0.1,0.1,0,129,0,210.6,61258,60619-2021-18
60620,70,2021-05-03,2021-05-09,101,5504,148,8082.7,2093,82228,3074,120753.1,0.1,0.1,4,149,5.9,218.8,68096,60620-2021-18
60621,70,2021-05-03,2021-05-09,34,2327,117,8012.5,794,30520,2734,105089.2,0.1,0.1,1,85,3.4,292.7,29042,60621-2021-18
60622,70,2021-05-03,2021-05-09,37,5192,70,9834.6,1555,99190,2946,187884.8,0,0.1,1,78,1.9,147.7,52793,60622-2021-18
60623,70,2021-05-03,2021-05-09,89,10945,104,12729.9,1907,93546,2218,108801,0,0.1,1,250,1.2,290.8,85979,60623-2021-18
60624,70,2021-05-03,2021-05-09,65,3381,180,9350.6,1207,42902,3338,118651.5,0.1,0.1,1,75,2.8,207.4,36158,60624-2021-18
60625,70,2021-05-03,2021-05-09,61,7051,77,8897.9,2529,112864,3191,142427.7,0,0.1,1,188,1.3,237.2,79243,60625-2021-18
60626,70,2021-05-03,2021-05-09,22,4371,44,8789.5,3338,127282,6712,255946.1,0,0,0,163,0,327.8,49730,60626-2021-18
60629,70,2021-05-03,2021-05-09,124,17202,111,15379.5,2188,120827,1956,108025.9,0.1,0.2,1,243,0.9,217.3,111850,60629-2021-18
60630,70,2021-05-03,2021-05-09,41,5771,72,10063.8,1468,68445,2560,119358.6,0,0.1,0,128,0,223.2,57344,60630-2021-18
60631,70,2021-05-03,2021-05-09,31,3221,105,10907.9,1095,49952,3708,169162.5,0,0.1,1,96,3.4,325.1,29529,60631-2021-18
60632,70,2021-05-03,2021-05-09,81,13353,89,14667.3,1618,93097,1777,102260.6,0.1,0.2,0,196,0,215.3,91039,60632-2021-18
60633,70,2021-05-03,2021-05-09,10,1346,78,10457.6,330,13203,2564,102579.4,0,0.1,0,15,0,116.5,12871,60633-2021-18
60634,70,2021-05-03,2021-05-09,78,10378,103,13656.2,2019,104103,2657,136986.6,0.1,0.1,1,154,1.3,202.6,75995,60634-2021-18
60636,70,2021-05-03,2021-05-09,92,3329,286,10337.5,976,34589,3031,107409.2,0.1,0.1,1,100,3.1,310.5,32203,60636-2021-18
