date,doses,dosescm,fdoses,fdosescm,sdoses,sdosescm
2020-12-15,16,16,16,16,0,0
2020-12-16,157,173,157,173,0,0
2020-12-17,1986,2159,1986,2159,0,0
2020-12-18,5723,7882,5723,7882,0,0
2020-12-19,3436,11318,3436,11318,0,0
2020-12-20,935,12253,935,12253,0,0
2020-12-21,4372,16625,4372,16625,0,0
2020-12-22,3648,20273,3648,20273,0,0
2020-12-23,2795,23068,2795,23068,0,0
2020-12-24,965,24033,965,24033,0,0
2020-12-25,3,24036,3,24036,0,0
2020-12-26,481,24517,481,24517,0,0
2020-12-27,10,24527,10,24527,0,0
2020-12-28,2373,26900,2373,26900,0,0
2020-12-29,4163,31063,4163,31063,0,0
2020-12-30,5016,36079,5016,36079,0,0
2020-12-31,1978,38057,1978,38057,0,0
2021-01-01,177,38234,177,38234,0,0
2021-01-02,1481,39715,1481,39715,0,0
2021-01-03,1112,40827,1085,40800,27,27
2021-01-04,3631,44458,3429,44229,202,229
2021-01-05,4550,49008,4290,48519,260,489
2021-01-06,3951,52959,3227,51746,724,1213
2021-01-07,5990,58949,2905,54651,3085,4298
2021-01-08,8919,67868,3723,58374,5196,9494
2021-01-09,4161,72029,1444,59818,2717,12211
2021-01-10,1647,73676,866,60684,781,12992
2021-01-11,5808,79484,2067,62751,3741,16733
2021-01-12,6863,86347,3798,66549,3065,19798
2021-01-13,6721,93068,4306,70855,2415,22213
2021-01-14,4809,97877,3975,74830,834,23047
2021-01-15,4399,102276,3907,78737,492,23539
2021-01-16,3071,105347,2568,81305,503,24042
2021-01-17,1289,106636,860,82165,429,24471
2021-01-18,4472,111108,2955,85120,1517,25988
2021-01-19,6043,117151,3730,88850,2313,28301
2021-01-20,8173,125324,5445,94295,2728,31029
2021-01-21,10569,135893,8761,103056,1808,32837
2021-01-22,9744,145637,8784,111840,960,33797
2021-01-23,4948,150585,4384,116224,564,34361
2021-01-24,1738,152323,1612,117836,126,34487
2021-01-25,8292,160615,6096,123932,2196,36683
2021-01-26,9776,170391,6602,130534,3174,39857
2021-01-27,11699,182090,8975,139509,2724,42581
2021-01-28,12183,194273,10171,149680,2012,44593
2021-01-29,12595,206868,11123,160803,1472,46065
2021-01-30,6720,213588,5320,166123,1400,47465
2021-01-31,2670,216258,2194,168317,476,47941
2021-02-01,8295,224553,6351,174668,1944,49885
2021-02-02,12499,237052,8808,183476,3692,53577
2021-02-03,13286,250338,10146,193622,3140,56717
2021-02-04,15684,266022,12727,206349,2957,59674
2021-02-05,16980,283002,12802,219151,4178,63852
2021-02-06,9114,292116,7054,226205,2060,65912
2021-02-07,3211,295327,2650,228855,561,66473
2021-02-08,10230,305557,7551,236406,2679,69152
2021-02-09,11605,317162,8301,244707,3304,72456
2021-02-10,16576,333738,11494,256201,5082,77538
2021-02-11,18584,352322,10655,266856,7929,85467
2021-02-12,17083,369405,10335,277191,6748,92215
2021-02-13,11868,381273,8299,285490,3569,95784
2021-02-14,3620,384893,2785,288275,835,96619
2021-02-15,8450,393343,5775,294050,2675,99294
2021-02-16,8222,401565,5585,299635,2637,101931
2021-02-17,12949,414514,6431,306066,6519,108450
2021-02-18,15235,429749,7732,313798,7503,115953
2021-02-19,14852,444601,6800,320598,8052,124005
2021-02-20,8794,453395,4559,325157,4235,128240
2021-02-21,3776,457171,2222,327379,1554,129794
2021-02-22,11120,468291,4856,332235,6264,136058
2021-02-23,15065,483356,7924,340159,7144,143202
2021-02-24,16332,499688,8422,348581,7910,151112
2021-02-25,19151,518839,8923,357504,10228,161340
2021-02-26,20894,539733,10483,367987,10411,171751
2021-02-27,15762,555495,10798,378785,4964,176715
2021-02-28,6889,562384,4580,383365,2309,179024
2021-03-01,13420,575804,7440,390805,5980,185004
2021-03-02,15801,591605,8492,399297,7310,192314
2021-03-03,19374,610979,9673,408970,9711,202025
2021-03-04,19104,630083,10746,419716,8496,210521
2021-03-05,20689,650772,12556,432272,8539,219060
2021-03-06,14330,665102,8218,440490,6477,225537
2021-03-07,5989,671091,4394,444884,2391,227928
2021-03-08,14381,685472,8175,453059,6959,234887
2021-03-09,18409,703881,10506,463565,8595,243482
2021-03-10,23164,727045,15322,478887,8755,252237
2021-03-11,24739,751784,15745,494632,9918,262155
2021-03-12,28384,780168,17803,512435,11612,273767
2021-03-13,20095,800263,12280,524715,8883,282650
2021-03-14,10369,810632,7610,532325,2985,285635
2021-03-15,20308,830940,14242,546567,6727,292362
2021-03-16,23060,854000,16307,562874,7914,300276
2021-03-17,23862,877862,17705,580579,6927,307203
2021-03-18,25306,903168,18414,598993,7609,314812
2021-03-19,26775,929943,19782,618775,8070,322882
2021-03-20,18544,948487,13114,631889,7198,330080
2021-03-21,12395,960882,9283,641172,3573,333653
2021-03-22,21631,982513,16826,657998,5390,339043
2021-03-23,25492,1008005,19855,677853,6485,345528
2021-03-24,26235,1034240,19790,697643,7212,352740
2021-03-25,28967,1063207,20231,717874,9439,362179
2021-03-26,31860,1095067,20280,738154,12315,374494
2021-03-27,24226,1119293,15436,753590,9698,384192
2021-03-28,12687,1131980,10147,763737,3420,387612
2021-03-29,27442,1159422,21184,784921,7373,394985
2021-03-30,30703,1190125,21593,806514,10138,405123
2021-03-31,30027,1220152,19781,826295,11439,416562
2021-04-01,28325,1248477,17716,844011,11642,428204
2021-04-02,34161,1282638,20298,864309,15154,443358
2021-04-03,25243,1307881,16606,880915,10522,453880
2021-04-04,9508,1317389,4072,884987,5858,459738
2021-04-05,30019,1347408,18803,903790,14025,473763
2021-04-06,39929,1387337,26959,930749,16679,490442
2021-04-07,34866,1422203,19292,950041,19044,509486
2021-04-08,35233,1457436,19284,969325,18853,528339
2021-04-09,37433,1494869,20504,989829,20031,548370
2021-04-10,28258,1523127,16955,1006784,15204,563574
2021-04-11,15255,1538382,8387,1015171,9216,572790
2021-04-12,28514,1566896,14258,1029429,17712,590502
2021-04-13,32739,1599635,15842,1045271,16946,607448
2021-04-14,30538,1630173,14604,1059875,15963,623411
2021-04-15,33604,1663777,15548,1075423,18150,641561
2021-04-16,31749,1695526,14089,1089512,17663,659224
2021-04-17,26763,1722289,13280,1102792,13493,672717
2021-04-18,12990,1735279,4117,1106909,8874,681591
2021-04-19,27743,1763022,8789,1115698,18978,700569
2021-04-20,30844,1793866,13282,1128980,17568,718137
2021-04-21,27589,1821455,12994,1141974,14607,732744
2021-04-22,30572,1852027,14978,1156952,15600,748344
2021-04-23,27283,1879310,10897,1167849,16387,764731
2021-04-24,19754,1899064,8320,1176169,11447,776178
2021-04-25,8468,1907532,4652,1180821,3819,779997
2021-04-26,22263,1929795,8467,1189288,13839,793836
2021-04-27,28577,1958372,8780,1198068,20002,813838
2021-04-28,23981,1982353,8961,1207029,15466,829304
2021-04-29,23213,2005566,8063,1215092,15615,844919
2021-04-30,24047,2029613,9176,1224268,15321,860240
2021-05-01,15329,2044942,6031,1230299,9640,869880
2021-05-02,6262,2051204,2458,1232757,4155,874035
2021-05-03,15538,2066742,4198,1236955,11966,886001
2021-05-04,17747,2084489,5067,1242022,13150,899151
2021-05-05,18416,2102905,6931,1248953,12136,911287
2021-05-06,17800,2120705,5520,1254473,12799,924086
2021-05-07,18629,2139334,6296,1260769,12912,936998
2021-05-08,15135,2154469,4581,1265350,11127,948125
2021-05-09,4242,2158711,1898,1267248,2806,950931
2021-05-10,11745,2170456,3985,1271233,8576,959507
2021-05-11,17141,2187597,4640,1275873,12861,972368
2021-05-12,13579,2201176,3525,1279398,10396,982764
2021-05-13,13283,2214459,4315,1283713,9106,991870
2021-05-14,13190,2227649,3707,1287420,9631,1001501
2021-05-15,9528,2237177,2635,1290055,6995,1008496
