zcta,date,doses_daily,doses_cum,fdose_daily,fdose_cum,fdose_pctpop,com_daily,com_cum,com_pctpop,pop,Row_ID,ymw
60603,2020-12-15,0,0,0,0,0,0,0,0,1052,60603-20201215,2020-12-20
60603,2020-12-16,0,0,0,0,0,0,0,0,1052,60603-20201216,2020-12-20
60603,2020-12-17,8,8,8,8,0.008,0,0,0,1052,60603-20201217,2020-12-20
60603,2020-12-18,6,14,6,14,0.013,0,0,0,1052,60603-20201218,2020-12-20
60603,2020-12-19,3,17,3,17,0.016,0,0,0,1052,60603-20201219,2020-12-20
60603,2020-12-20,4,21,4,21,0.02,0,0,0,1052,60603-20201220,2020-12-27
60603,2020-12-21,5,26,5,26,0.025,0,0,0,1052,60603-20201221,2020-12-27
60603,2020-12-22,7,33,7,33,0.031,0,0,0,1052,60603-20201222,2020-12-27
60603,2020-12-23,0,33,0,33,0.031,0,0,0,1052,60603-20201223,2020-12-27
60603,2020-12-24,1,34,1,34,0.032,0,0,0,1052,60603-20201224,2020-12-27
60603,2020-12-25,0,34,0,34,0.032,0,0,0,1052,60603-20201225,2020-12-27
60603,2020-12-26,0,34,0,34,0.032,0,0,0,1052,60603-20201226,2020-12-27
60603,2020-12-27,0,34,0,34,0.032,0,0,0,1052,60603-20201227,2021-01-03
60603,2020-12-28,1,35,1,35,0.033,0,0,0,1052,60603-20201228,2021-01-03
60603,2020-12-29,2,37,2,37,0.035,0,0,0,1052,60603-20201229,2021-01-03
60603,2020-12-30,3,40,3,40,0.038,0,0,0,1052,60603-20201230,2021-01-03
60603,2020-12-31,1,41,1,41,0.039,0,0,0,1052,60603-20201231,2021-01-03
60603,2021-01-01,0,41,0,41,0.039,0,0,0,1052,60603-20210101,2021-01-03
60603,2021-01-03,0,41,0,41,0.039,0,0,0,1052,60603-20210103,2021-01-10
60603,2021-01-04,3,44,3,44,0.042,0,0,0,1052,60603-20210104,2021-01-10
60603,2021-01-05,3,47,2,46,0.044,1,1,0.001,1052,60603-20210105,2021-01-10
60603,2021-01-06,1,48,1,47,0.045,0,1,0.001,1052,60603-20210106,2021-01-10
60603,2021-01-07,14,62,4,51,0.048,10,11,0.01,1052,60603-20210107,2021-01-10
60603,2021-01-08,9,71,2,53,0.05,7,18,0.017,1052,60603-20210108,2021-01-10
60603,2021-01-09,40,111,36,89,0.085,4,22,0.021,1052,60603-20210109,2021-01-10
60603,2021-01-10,4,115,2,91,0.087,2,24,0.023,1052,60603-20210110,2021-01-17
60603,2021-01-11,1,116,0,91,0.087,1,25,0.024,1052,60603-20210111,2021-01-17
60603,2021-01-12,7,123,1,92,0.087,6,31,0.029,1052,60603-20210112,2021-01-17
60603,2021-01-13,2,125,2,94,0.089,0,31,0.029,1052,60603-20210113,2021-01-17
60603,2021-01-14,5,130,4,98,0.093,1,32,0.03,1052,60603-20210114,2021-01-17
60603,2021-01-15,10,140,10,108,0.103,0,32,0.03,1052,60603-20210115,2021-01-17
60603,2021-01-16,37,177,36,144,0.137,1,33,0.031,1052,60603-20210116,2021-01-17
60603,2021-01-17,2,179,2,146,0.139,0,33,0.031,1052,60603-20210117,2021-01-24
60603,2021-01-18,3,182,3,149,0.142,0,33,0.031,1052,60603-20210118,2021-01-24
60603,2021-01-19,0,182,0,149,0.142,0,33,0.031,1052,60603-20210119,2021-01-24
60603,2021-01-21,13,202,10,166,0.158,3,36,0.034,1052,60603-20210121,2021-01-24
60603,2021-01-22,21,223,21,187,0.178,0,36,0.034,1052,60603-20210122,2021-01-24
60603,2021-01-23,9,232,9,196,0.186,0,36,0.034,1052,60603-20210123,2021-01-24
60603,2021-01-24,2,234,1,197,0.187,1,37,0.035,1052,60603-20210124,2021-01-31
60603,2021-01-25,3,237,2,199,0.189,1,38,0.036,1052,60603-20210125,2021-01-31
60603,2021-01-26,6,243,4,203,0.193,2,40,0.038,1052,60603-20210126,2021-01-31
60603,2021-01-27,70,313,70,273,0.26,0,40,0.038,1052,60603-20210127,2021-01-31
60602,2021-05-11,9,1841,0,1055,0.921,9,839,0.733,1145,60602-20210511,2021-05-16
60603,2021-05-13,5,2044,0,1184,1.13,5,907,0.862,1052,60603-20210513,2021-05-16
60603,2021-03-02,9,753,4,465,0.442,5,288,0.274,1052,60603-20210302,2021-03-07
60603,2021-03-03,7,760,3,468,0.445,4,292,0.278,1052,60603-20210303,2021-03-07
60603,2021-03-04,10,770,7,475,0.452,4,296,0.281,1052,60603-20210304,2021-03-07
60603,2021-03-05,11,781,10,485,0.461,1,297,0.282,1052,60603-20210305,2021-03-07
60603,2021-03-06,11,792,5,490,0.466,6,303,0.288,1052,60603-20210306,2021-03-07
60603,2021-03-07,1,793,0,490,0.466,1,304,0.289,1052,60603-20210307,2021-03-14
60603,2021-03-08,9,802,3,493,0.469,7,311,0.296,1052,60603-20210308,2021-03-14
60603,2021-03-09,16,818,8,501,0.476,8,319,0.303,1052,60603-20210309,2021-03-14
60603,2021-03-10,23,841,10,511,0.486,13,332,0.316,1052,60603-20210310,2021-03-14
60603,2021-03-11,23,864,12,523,0.497,12,344,0.327,1052,60603-20210311,2021-03-14
60603,2021-03-12,8,872,6,529,0.503,3,347,0.33,1052,60603-20210312,2021-03-14
60603,2021-03-13,4,876,3,532,0.506,2,349,0.332,1052,60603-20210313,2021-03-14
60603,2021-03-14,7,883,4,536,0.51,4,353,0.336,1052,60603-20210314,2021-03-21
60603,2021-03-15,14,897,11,547,0.52,5,358,0.34,1052,60603-20210315,2021-03-21
60603,2021-03-16,20,917,13,560,0.532,7,365,0.347,1052,60603-20210316,2021-03-21
60603,2021-03-17,11,928,4,564,0.536,7,372,0.354,1052,60603-20210317,2021-03-21
60603,2021-03-18,16,944,12,576,0.548,4,376,0.357,1052,60603-20210318,2021-03-21
60603,2021-03-19,14,958,11,587,0.558,5,381,0.362,1052,60603-20210319,2021-03-21
60603,2021-03-20,5,963,3,590,0.561,2,383,0.364,1052,60603-20210320,2021-03-21
60603,2021-03-21,5,968,5,595,0.566,0,383,0.364,1052,60603-20210321,2021-03-28
60603,2021-03-22,11,979,11,606,0.576,0,383,0.364,1052,60603-20210322,2021-03-28
