zcta,doses,dosescm,fdoses,fdosescm,sdoses,sdosescm,ZCTA5
60601,16022,856431,9319,551821,7209,323295,60601
60602,1875,115526,1059,72719,869,44901,60602
60603,2057,126229,1185,81480,919,46478,60603
60604,1275,77855,756,50650,543,28185,60604
60605,32641,1948581,18409,1218596,15116,763949,60605
60606,4510,237931,2574,153920,2086,89513,60606
60607,32260,1918658,18112,1203297,14997,749206,60607
60608,76247,4212458,44639,2752093,32643,1502139,60608
60609,43854,2261121,24976,1464025,19740,834501,60609
60610,42238,2387246,23949,1517092,19487,918016,60610
60611,40804,2735791,22741,1670662,18949,1099216,60611
60612,24688,1483630,14040,936443,11262,571554,60612
60613,58075,3131223,33079,2022334,26683,1179225,60613
60614,73874,4134534,42102,2648957,33835,1570602,60614
60615,37606,2204820,20991,1372769,17260,858309,60615
60616,46785,2609689,27074,1683559,21113,981445,60616
60617,49505,2687797,29001,1749865,22192,1005452,60617
60618,85699,4583473,49297,2970509,39156,1733062,60618
60619,36657,2104421,21399,1359057,16422,792072,60619
60620,36749,2015176,21727,1325846,16213,737570,60620
60621,12365,675962,7412,451410,5431,243957,60621
60622,58192,3211910,32977,2059830,26909,1223310,60622
60623,60033,3249219,34163,2109809,26793,1180834,60623
60624,17434,922566,10480,617940,7389,322506,60624
60625,71304,3793025,41108,2463827,32266,1420235,60625
60626,44300,2413115,25938,1573480,19674,891193,60626
60628,35968,1986037,21332,1300867,15898,734881,60628
60629,84640,4320440,48768,2848395,37526,1547121,60629
60630,47744,2615719,27469,1681583,21876,1005257,60630
60631,28251,1783538,15933,1117810,13230,708640,60631
60632,73050,3759243,41489,2452217,32856,1364816,60632
60633,6533,344186,3837,225097,3021,132110,60633
60634,60300,3331867,34932,2151460,27210,1265068,60634
60636,16016,816230,9447,542753,7025,292107,60636
60637,29532,1627998,16956,1036092,13155,615127,60637
60638,43443,2429797,24653,1551302,19929,925484,60638
60639,70360,3710626,42064,2482672,30053,1305552,60639
60640,72356,4080145,41407,2635581,33035,1531827,60640
60641,57716,3041859,33810,1993215,25820,1131598,60641
60642,21672,1188954,12280,759067,10123,459320,60642
60643,38133,2342141,22061,1491341,17220,897256,60643
60644,23844,1336087,14192,883526,10405,486193,60644
60645,38708,2219067,22657,1432168,17161,832025,60645
60646,27827,1691536,15766,1065077,12835,660954,60646
60647,84744,4416468,48668,2879985,38791,1654243,60647
60649,24497,1442353,14437,933772,10752,536694,60649
60651,40793,2052593,24246,1368818,17729,736603,60651
60652,33381,1784487,19506,1168695,14614,647046,60652
60653,21048,1247220,12412,812769,9009,450475,60653
60654,23801,1265870,13758,822243,10895,476488,60654
60655,23664,1584419,13398,980326,10982,632101,60655
60656,20665,1154620,11935,738989,9518,453588,60656
60657,81679,4489492,46389,2890328,37796,1702518,60657
60659,31086,1689424,18218,1093636,13864,636204,60659
60660,43152,2384601,24687,1534528,19579,895529,60660
60661,12935,672175,7418,435252,5928,253030,60661
60707,11251,644599,6583,419168,4958,238945,60707
60827,1339,65226,840,44397,547,22609,60827
