ZCTA5,pcp,X1,NAME,Total,PopUnd5,Pop5to17,Pop18to29,Pop30to44,Pop45to54,Pop55to64,Pop65to74,Pop75to84,Pop85Over,Pop16Over,Pct16Over,Pop65Over,Pct65Over,POPBLK,POPASN,POPLAT,POPCLR,POPWHT,PCTBLK,PCTASN,PCTLAT,PCTCLR,PCTWHT,WKTRANSTOT,WKTRANS,PCTTRANS,WKTWU,PCTTWU,EDTOT,NOHS,HSON,HSPL,PCTNOHS,PCTHSON,PCTHSPL,POPBPOVTOT,POPBPOV,PCTBPOV,POPDISABTOT,POPDISAB,PCTDISAB,HHSNAPTOT,HHSNAP,PCTSNAP,WPARTTOT,WPART,PCTWPART,HUOVERTOT,HUOVER,PCTOVER,HUDWTOTAL,HU2PL,HU10PL,PCT2PL,PCT10PL,HHVEHTOT,HHNOVEH,PCTNOVEH,HHRNTOC,PCTRNTOC,HUPLMTOTAL,HUNOPLM,PCTNOPLM,HHOVERTOTAL,HHOVER30,PCTOVER30,POPGQ,POPHITOTAL,POPNOHI,PCTNOHI,HHCMPTOTAL,HHNOCMP,PCTNOCMP,HHNOLAP,PCTNOLAP,HHPHON,PCTPHON,HUINTTOTAL,HUNOINT,PCTNOINT,HHLTDENGTOT,HHLTDENG,PCTLTDENG,WORKERS,WCONMAN,PCTWCONMAN,WFOOD,PCTWFOOD,WHEALTH,PCTWHEALTH,WPROT,PCTWPROT,WSOCIAL,PCTWSOCIAL,WTRANS,PCTWTRANS,WESSEN,PCTWESSEN,PCTGQ,Pop18Over
60601,NO,6653,ZCTA5 60601,15083,426,454,5207,3769,1815,1303,1311,699,99,14249.3333333333,94.4728060288625,2109,13.9826294503746,638,2859,1224,5144,9939,4.22992773320957,18.9551150301664,8.11509646622025,34.1046210965988,65.8953789034012,9523,1793,18.828100388533,676,7.09860338128741,12027,0,377,11650,0,0.0313461378564896,0.96865386214351,14448,1368,9.46843853820598,15057,985,6.54180779703792,8941,0,0,12233,1458,11.9185808877626,8941,167,1.86780002236886,10748,10456,10404,97.2832154819501,96.7994045403796,8941,4116,46.035119114193,5959,66.6480259478806,556,14,2.51798561151079,8941,3638,1.44279163404541,0,15057,441,2.92887029288703,8941,305,3.4112515378593,637,7.12448272005368,130,1.45397606531708,8941,270,3.01979644335086,8941,317,3.54546471311934,9550,205,2.14659685863874,39,0.408376963350785,692,7.24607329842932,0,0,101,1.05759162303665,260,2.72251308900524,1297,13.5811518324607,0,14203
60606,NO,6724,ZCTA5 60606,3287,75,44,660,1268,469,393,336,42,0,3168,96.379677517493107,378,11.49984788561,58,667,188,1081,2206,1.76452692424703,20.2920596288409,5.71950106480073,32.8871311226042,67.1128688773958,2746,499,18.1718863801894,96,3.49599417334304,2991,22,62,2907,0.00735539953192912,0.0207288532263457,0.971915747241725,3287,265,8.06206267112869,3287,124,3.77243687252814,2201,17,0.772376192639709,2790,301,10.7885304659498,2201,88,3.99818264425261,2689,2672,2633,99.3677947192265,97.9174414280402,2201,877,39.8455247614721,1216,55.2476147205816,92,6,6.52173913043478,2201,505,4.40708768741481,0,3287,136,4.13751140857925,2201,0,0,164,7.45115856428896,59,2.68059972739664,2201,0,0,2201,40,1.81735574738755,2746,0,0,24,0.873998543335761,170,6.19082301529497,37,1.34741442097597,0,0,47,1.7115804806992,278,10.1238164603059,0,3168
60607,NO,7164,ZCTA5 60607,29293,1317,1824,11280,8833,2454,2041,893,487,164,26232.6666666667,89.5526803900818,1544,5.2708838289011,4168,6304,2151,13574,15719,14.2286553101424,21.520499778104,7.3430512409108,46.3387157341344,53.6612842658656,17628,4533,25.71477195371,445,2.52439301111867,19765,685,1493,17587,0.0346572223627625,0.0755375664052618,0.889805211231976,26439,5417,20.4886720375203,29022,1882,6.48473571773138,12755,845,6.62485299882399,24776,4749,19.1677429770746,12755,320,2.50882007056056,14527,12865,9818,88.5592345288084,67.5844978316239,12755,3625,28.4202273618189,7423,58.1967855742846,330,0,0,12755,4469,3.34770678165425,0,29022,1170,4.03142443663428,12755,485,3.80243041944336,840,6.58565268522148,204,1.59937279498236,12755,608,4.76675813406507,12755,305,2.39121912975304,17853,659,3.69125637147818,656,3.67445247297373,1693,9.483000056013,351,1.966056125021,240,1.34431188035624,298,1.66918725144233,3897,21.8282641572845,0,26152
60610,NO,18231,ZCTA5 60610,40548,1670,2046,11990,10708,3609,3988,4181,1782,574,37031.6666666667,91.3279734306665,6537,16.121633619414,5880,3532,2526,13080,27468,14.5013317549571,8.71066390450824,6.22965374371116,32.258064516129,67.741935483871,26623,9727,36.5360778274424,1083,4.06791120459753,32999,958,2396,29645,0.029031182763114,0.0726082608563896,0.898360556380496,38944,3899,10.0118118323747,40206,3339,8.30473063721833,23708,1551,6.5420954951915,30800,4160,13.5064935064935,23708,385,1.62392441370002,27727,25382,22711,91.5425397626862,81.9093302557074,23708,9994,42.1545469883584,14387,60.6841572464991,44,0,0,23708,7685,3.69073730386367,0,40206,1342,3.33781027707307,23708,1088,4.58916821326135,2865,12.0845284292222,1121,4.72836173443563,23708,2038,8.59625442888476,23708,581,2.45064956976548,26999,904,3.34827215822808,952,3.52605652061187,2315,8.57439164413497,178,0.659283677173229,355,1.31486351346346,753,2.78899218489574,5457,20.2118596985074,0,36832
60611,NO,19169,ZCTA5 60611,33224,965,891,7778,8583,3090,4775,4256,2090,796,31429.6666666667,94.5992856569548,7142,21.4965085480376,967,6156,1573,9455,23769,2.91054659282446,18.5287743799663,4.73452925595955,28.4583433662413,71.5416566337587,20704,4068,19.6483771251932,543,2.62268160741886,28418,257,1151,27010,0.00904356393834893,0.0405024984164966,0.950453937645155,32762,3497,10.6739515292107,33224,2276,6.8504695400915,21018,305,1.45113712056333,24336,2821,11.5918803418803,21018,285,1.35598058806737,26714,26163,25843,97.9374110953058,96.7395373212548,21018,8960,42.6301265581882,11205,53.3114473308593,1182,4,0.338409475465313,21018,7220,6.28984679798268,100,33224,586,1.76378521550686,21018,401,1.90788847654391,1463,6.96070035207917,407,1.9364354362927,21018,466,2.21714720715577,21018,663,3.15443905224094,21181,386,1.82238798923564,448,2.1151031584911,2778,13.1155280676078,101,0.476842453141967,208,0.982012180728011,256,1.20863037628063,4177,19.7205042254851,0.300987238141103,31368
60614,NO,7029,ZCTA5 60614,71954,3738,6377,24583,18124,6715,5688,4252,1787,690,62248.3333333333,86.5112896202203,6729,9.3518080996192,3016,5218,4438,14837,57117,4.1915668343664,7.25185535203046,6.16782944659088,20.6201184089835,79.3798815910165,47114,20860,44.2755868743898,1555,3.30050515770259,51562,1010,2701,47851,0.0195880687327877,0.0523835382646135,0.928028393002599,68396,5614,8.20808234399673,71382,3337,4.67484800089658,33602,1168,3.4759835724064,55809,7384,13.2308409037969,33602,300,0.892803999761919,36375,29069,18131,79.9147766323024,49.8446735395189,33602,10076,29.9863103386703,18514,55.0979108386406,1396,62,4.44126074498567,33602,9470,3.38670317243021,56,71382,1901,2.66313636490992,33602,1590,4.73186119873817,2841,8.45485387774538,650,1.93440866615082,33602,1890,5.62466519850009,33602,597,1.77667995952622,47696,1246,2.61237839651124,1100,2.30627306273063,3341,7.00478027507548,387,0.811388795706139,550,1.15313653136531,713,1.49488426702449,7337,15.3828413284133,0.0778275009033549,61839
60615,NO,7030,ZCTA5 60615,40590,2054,4165,10400,8705,4413,4442,3739,1940,732,34701,85.4915003695491,6411,15.7945306725795,21960,3448,2220,29442,11148,54.1019955654102,8.49470312884947,5.46932742054693,72.5351071692535,27.4648928307465,20143,6076,30.1643250757087,919,4.56237899021993,28695,1775,3494,23426,0.061857466457571,0.121763373410002,0.816379160132427,40053,9771,24.3951763912816,40554,5577,13.7520343246042,21444,3624,16.899832120873,28623,6019,21.0285434790204,21444,167,0.778772617049058,24195,21435,13685,88.5926844389337,56.5612729902873,21444,7701,35.9121432568551,14910,69.5299384443201,131,0,0,21444,9956,5.46539824659578,0,40554,2825,6.96602061448932,21444,2012,9.3825778772617,4741,22.1087483678418,1878,8.75769445998881,21444,3257,15.1883976869987,21444,710,3.31094944972953,20678,1260,6.09343263371699,706,3.41425669793984,1455,7.03646387464939,487,2.35516007350808,786,3.80114130960441,939,4.5410581294129,5633,27.2415127188316,0,34371
60617,YES,5787,ZCTA5 60617,83553,5372,16791,14558,13985,10476,9793,6374,4544,1660,62890.3333333333,75.2699883108127,12578,15.0539178724881,46967,220,31048,78619,4934,56.2122245760176,0.263305925580171,37.1596471700597,94.0947661963065,5.90523380369346,31575,8001,25.3396674584323,3782,11.9778305621536,52745,10321,17163,25261,0.195677315385345,0.325395772111101,0.478926912503555,83266,19697,23.6555136550333,83498,11203,13.4170878344391,28792,8688,30.175048624618,51850,7877,15.191899710704,28792,161,0.55918310641845,34492,15005,1326,43.5028412385481,3.84436970891801,28792,6346,22.0408446790775,12943,44.9534592942484,553,4,0.723327305605787,28792,11927,20.5473742706307,0,83498,7112,8.5175692830966,28792,4854,16.8588496804668,11913,41.3760766879689,4862,16.8866351764379,28792,5707,19.8214781883857,28792,2188,7.59933314809669,32341,6235,19.2789338610433,2053,6.34797934510374,3021,9.34108407284871,1619,5.00602949816023,742,2.294301351226,4528,14.000803933088,18198,56.26913206147,0,61390
60618,NO,5788,ZCTA5 60618,94907,6642,14020,16885,28141,11848,8672,5123,2539,1037,75025,79.0510710485001,8699,9.16581495569347,2408,5757,38208,49314,45593,2.53722064758132,6.06593823427144,40.2583581822205,51.9603401224356,48.0396598775643,54602,16025,29.3487418043295,2896,5.30383502435808,67297,9586,12121,45590,0.142443199548271,0.180112040655601,0.677444759796128,94545,9748,10.3104341847797,94620,6413,6.77763686324244,35358,3257,9.21149386277504,67040,9786,14.5972553699284,35358,121,0.342213926127043,39969,29623,5063,74.1149390777853,12.6673171708074,35358,5765,16.304655240681,18510,52.3502460546411,5476,15,0.273922571219869,35358,12014,6.36065388313819,5,94620,12263,12.9602621010357,35358,2680,7.57961423157419,5824,16.4715198823463,1914,5.41320210419141,35358,4583,12.961705978845,35358,3590,10.1532892131908,55237,7181,13.0003439723374,4616,8.35671741767294,3481,6.30193529699296,857,1.55149627966761,903,1.63477379292865,3505,6.34538443434654,20543,37.1906511939461,0.00526831529813396,74245
60619,NO,7031,ZCTA5 60619,61207,3861,8876,9612,10794,7702,9904,5421,3350,1687,49140,80.2849347296878,10458,17.0862809809336,58412,145,804,60304,903,95.43352884474,0.236901008054634,1.31357524466156,98.5246785498391,1.47532145016093,24094,6862,28.4801195318337,2711,11.2517639246285,43537,4816,11572,27149,0.110618554333096,0.265796908376783,0.623584537290121,61080,15470,25.3274394237066,61132,11046,18.0690963816005,26521,8827,33.2830587081935,39342,7313,18.58827715927,26521,208,0.78428415218129,32540,19421,3412,59.6834665027658,10.4855562384757,26521,9114,34.3652200143283,15331,57.8070208514008,414,0,0,26521,12265,13.3479129746239,0,61132,5557,9.09016554341425,26521,5209,19.6410391765016,11214,42.2834734738509,3897,14.6940160627427,26521,7924,29.8782097205988,26521,211,0.795595942837751,24576,3440,13.9973958333333,1083,4.40673828125,2702,10.9944661458333,1362,5.5419921875,767,3.12093098958333,2919,11.87744140625,12273,49.93896484375,0,48470
