"","date","doses","dosescm","fdoses","fdosescm","sdoses","sdosescm","pop","doses7d","dosert","fdoses7d","fdosert","sdoses7d","sdosert"
"1",2020-12-15,14,14,14,14,0,0,110029,0,0.0127239182397368,0,0.0127239182397368,0,0
"2",2020-12-16,154,168,154,168,0,0,110029,0,0.152687018876842,0,0.152687018876842,0,0
"3",2020-12-17,1982,2150,1982,2150,0,0,110029,0,1.95403030110244,0,1.95403030110244,0,0
"4",2020-12-18,5712,7862,5712,7862,0,0,110029,0,7.14538894291505,0,7.14538894291505,0,0
"5",2020-12-19,3429,11291,3429,11291,0,0,110029,0,10.2618400603477,0,10.2618400603477,0,0
"6",2020-12-20,932,12223,932,12223,0,0,110029,0,11.1088894745931,0,11.1088894745931,0,0
"7",2020-12-21,4367,16590,4367,16590,0,0,110029,2370,15.0778431140881,2370,15.0778431140881,0,0
"8",2020-12-22,3639,20229,3639,20229,0,0,110029,2887.85714285714,18.3851530051168,2887.85714285714,18.3851530051168,0,0
"9",2020-12-23,2777,23006,2777,23006,0,0,110029,3262.57142857143,20.9090330730989,3262.57142857143,20.9090330730989,0,0
"10",2020-12-24,963,23969,963,23969,0,0,110029,3117,21.7842568777322,3117,21.7842568777322,0,0
"11",2020-12-25,3,23972,3,23972,0,0,110029,2301.42857142857,21.7869834316407,2301.42857142857,21.7869834316407,0,0
"12",2020-12-26,478,24450,478,24450,0,0,110029,1879.85714285714,22.2214143543975,1879.85714285714,22.2214143543975,0,0
"13",2020-12-27,10,24460,10,24460,0,0,110029,1748.14285714286,22.2305028674259,1748.14285714286,22.2305028674259,0,0
"14",2020-12-28,2295,26755,2295,26755,0,0,110029,1452.14285714286,24.3163166074399,1452.14285714286,24.3163166074399,0,0
"15",2020-12-29,3985,30740,3985,30740,0,0,110029,1501.57142857143,27.9380890492507,1501.57142857143,27.9380890492507,0,0
"16",2020-12-30,4929,35669,4929,35669,0,0,110029,1809,32.4178171209408,1809,32.4178171209408,0,0
"17",2020-12-31,1968,37637,1968,37637,0,0,110029,1952.57142857143,34.2064364849267,1952.57142857143,34.2064364849267,0,0
"18",2021-01-01,154,37791,154,37791,0,0,110029,1974.14285714286,34.3463995855638,1974.14285714286,34.3463995855638,0,0
"19",2021-01-02,1473,39264,1473,39264,0,0,110029,2116.28571428571,35.6851375546447,2116.28571428571,35.6851375546447,0,0
"20",2021-01-03,1103,40367,1076,40340,27,27,110029,2272.42857142857,36.6876005416754,2268.57142857143,36.6630615564987,3.85714285714286,0.0245389851766352
"21",2021-01-04,3611,43978,3409,43749,202,229,110029,2460.42857142857,39.9694625962246,2427.71428571429,39.7613356478747,32.7142857142857,0.20812694834998
