partner_covid_pin,ccdph_provider,partner_zip,partner_name,partner_street,partner_city,partner_state,partner_clean_street,partner_clean_name,vtrcks_name,vtrcks_provider_number,vtrcks_covid_pin,vtrcks_street,vtrcks_city,vtrcks_zip,vtrcks_state,vtrcks_clean_street,vtrcks_clean_name,icare_name,icare_id,icare_covid_pin,icare_street,icare_city,icare_state,icare_zip,icare_clean_street,icare_clean_name,vfinder_name,vfinder_covid_pin,vfinder_provider_number,vfinder_street,vfinder_city,vfinder_zip,vfinder_state,vfinder_clean_street,vfinder_clean_name,covid_pin,city,street,state,zip,in_icare,in_vfinder,in_vtrcks,name,in_partner,address,lon,lat
V09112,TRUE,60429,ADVOCATE SOUTH SUBURBAN HOSPITAL,17800 KEDZIE AVE,HAZEL CREST,IL,17800 KEDZIE AVE,ADVOCATE SOUTH SUBURBAN HOSPITAL,ADVOCATE SOUTH SUBURBAN HOSPITAL,40192486,ILAV09112,17800 KEDZIE AVE,HAZEL CREST,60429,IL,17800 KEDZIE AVE,ADVOCATE SOUTH SUBURBAN HOSPITAL,ADVOCATE SOUTH SUBURBAN HOSPITAL,170902197,V09112,17800 KEDZIE AVE,HAZEL CREST,IL,60429,17800 KEDZIE AVE,ADVOCATE SOUTH SUBURBAN HOSPITAL,ADVOCATE SOUTH SUBURBAN HOSPITAL,ILAV09112A,40192486,17800 KEDZIE AVE,HAZEL CREST,60429,IL,17800 KEDZIE AVE,ADVOCATE SOUTH SUBURBAN HOSPITAL,ILAV09112A,HAZEL CREST,17800 KEDZIE AVE,IL,60429,TRUE,TRUE,TRUE,ADVOCATE SOUTH SUBURBAN HOSPITAL,TRUE,"17800 KEDZIE AVE HAZEL CREST, IL 60429",-87.696602,41.5663888
V09087,TRUE,60453,ADVOCATE CHRIST MEDICAL CENTER,4440 W 95TH ST,OAK LAWN,IL,4440 W 95TH ST,ADVOCATE CHRIST MEDICAL CENTER,ADVOCATE CHRIST MEDICAL CENTER,40191364,ILAV09087,4440 W 95TH ST,OAK LAWN,60453,IL,4440 W 95TH ST,ADVOCATE CHRIST MEDICAL CENTER,ADVOCATE CHRIST MEDICAL CENTER,1335253713,V09087,4440 W 95TH ST,OAK LAWN,IL,60453,4440 W 95TH ST,ADVOCATE CHRIST MEDICAL CENTER,ADVOCATE CHRIST MEDICAL CENTER,ILAV09087A,40191364,4440 W 95TH ST,OAK LAWN,60453,IL,4440 W 95TH ST,ADVOCATE CHRIST MEDICAL CENTER,ILAV09087A,OAK LAWN,4440 W 95TH ST,IL,60453,TRUE,TRUE,TRUE,ADVOCATE CHRIST MEDICAL CENTER,TRUE,"4440 W 95TH ST OAK LAWN, IL 60453",-87.73261819999999,41.721808
NA,TRUE,60803,JEWEL OSCO STORE 3098,12001 S. PULASKI ROAD,ALSIP,IL,12001 S PULASKI RD,JEWEL-OSCO PHARMACY STORE #3098,NA,NA,NA,NA,NA,NA,NA,NA,NA,JEWEL-OSCO - 3098,404898765,V09916,12003 S PULASKI RD,ALSIP,IL,60803,12003 S PULASKI RD,"	
JEWEL-OSCO PHARMACY STORE #3098",JEWEL-OSCO PHARMACY STORE #3098,AB1003098,40169499,12003 S PULASKI ROAD,ALSIP,60803,IL,12003 S PULASKI RD,JEWEL-OSCO PHARMACY STORE #3098,AB1003098,ALSIP,12003 S PULASKI RD,IL,60803,TRUE,TRUE,FALSE,JEWEL-OSCO PHARMACY STORE #3098,TRUE,"12003 S PULASKI RD ALSIP, IL 60803",-87.7178364,41.6741149
V09147,TRUE,60005,JEWEL OSCO STORE 3461,1860 S ARLINGTON HEIGHTS RD,ARLINGTON HEIGHTS,IL,1860 S ARLINGTON HEIGHTS RD,JEWEL-OSCO PHARMACY STORE #3461,JEWEL-OSCO - 3461,40193356,ILAV09147,1860 S ARLINGTON HEIGHTS RD,ARLINGTON HEIGHTS,60005,IL,1860 S ARLINGTON HEIGHTS RD,JEWEL-OSCO PHARMACY STORE #3461,JEWEL-OSCO - 3461,404883884,V09147,1860 S ARLINGTON HEIGHTS RD,ARLINGTON HEIGHTS,IL,60005,1860 S ARLINGTON HEIGHTS RD,"	
JEWEL-OSCO PHARMACY STORE #3461",JEWEL-OSCO PHARMACY STORE #3461,AB1003461,40169643,1860 S ARLINGTON HEIGHTS RD,ARLINGTON HEIGHTS,60005,IL,1860 S ARLINGTON HEIGHTS RD,JEWEL-OSCO PHARMACY STORE #3461,AB1003461,ARLINGTON HEIGHTS,1860 S ARLINGTON HEIGHTS RD,IL,60005,TRUE,TRUE,TRUE,JEWEL-OSCO PHARMACY STORE #3461,TRUE,"1860 S ARLINGTON HEIGHTS RD ARLINGTON HEIGHTS, IL 60005",-87.983853,42.0523392
NA,TRUE,60525,JEWEL OSCO STORE 754,5545 S. BRAINARD AVENUE,COUNTRYSIDE,IL,5545 S BRAINARD AVE,JEWEL-OSCO PHARMACY STORE #754,JEWEL-OSCO - 0754,40235632,ILAV09542,5545 S BRAINARD AVE,COUNTRYSIDE,60525,IL,5545 S BRAINARD AVE,JEWEL-OSCO PHARMACY STORE #754,JEWEL-OSCO - 0754,404890677,V09542,5545 S BRAINARD AVE,COUNTRYSIDE,IL,60525,5545 S BRAINARD AVE,"	
JEWEL-OSCO PHARMACY STORE #754",JEWEL-OSCO PHARMACY STORE #754,AB1000754,40168492,5545 S BRAINARD AVE,COUNTRYSIDE,60525,IL,5545 S BRAINARD AVE,JEWEL-OSCO PHARMACY STORE #754,AB1000754,COUNTRYSIDE,5545 S BRAINARD AVE,IL,60525,TRUE,TRUE,TRUE,JEWEL-OSCO PHARMACY STORE #754,TRUE,"5545 S BRAINARD AVE COUNTRYSIDE, IL 60525",-87.8778358,41.7897647
V09332,TRUE,60018,JEWEL OSCO STORE 3425,1480 LEE STREET,DES PLAINES,IL,1480 LEE ST,JEWEL-OSCO PHARMACY STORE #3425,JEWEL-OSCO - 3425,40228396,ILAV09332,1480 LEE ST,DES PLAINES,60018,IL,1480 LEE ST,JEWEL-OSCO PHARMACY STORE #3425,JEWEL-OSCO - 3425,404898775,V09332,1480 LEE ST,DES PLAINES,IL,60018,1480 LEE ST,"	
JEWEL-OSCO PHARMACY STORE #3425",JEWEL-OSCO PHARMACY STORE #3425,AB1003425,40169621,1480 LEE ST,DES PLAINES,60018,IL,1480 LEE ST,JEWEL-OSCO PHARMACY STORE #3425,AB1003425,DES PLAINES,1480 LEE ST,IL,60018,TRUE,TRUE,TRUE,JEWEL-OSCO PHARMACY STORE #3425,TRUE,"1480 LEE ST DES PLAINES, IL 60018",-87.89452220000001,42.0266153
V09338,TRUE,60007,JEWEL OSCO STORE 3220,22 BIESTERFIELD ROAD,ELK GROVE VILLAGE,IL,22 BIESTERFIELD RD,JEWEL-OSCO PHARMACY STORE #3220,JEWEL-OSCO - 3220,40228629,ILAV09338,22 BIESTERFIELD RD,ELK GROVE VILLAGE,60007,IL,22 BIESTERFIELD RD,JEWEL-OSCO PHARMACY STORE #3220,JEWEL-OSCO - 3220,404898735,V09338,22 BIESTERFIELD RD,ELK GROVE VILLAGE,IL,60007,22 BIESTERFIELD RD,"	
JEWEL-OSCO PHARMACY STORE #3220",JEWEL-OSCO PHARMACY STORE #3220,AB1003220,40169548,22 BIESTERFIELD ROAD,ELK GROVE VILLAGE,60007,IL,22 BIESTERFIELD RD,JEWEL-OSCO PHARMACY STORE #3220,AB1003220,ELK GROVE VILLAGE,22 BIESTERFIELD RD,IL,60007,TRUE,TRUE,TRUE,JEWEL-OSCO PHARMACY STORE #3220,TRUE,"22 BIESTERFIELD RD ELK GROVE VILLAGE, IL 60007",-88.00521169999999,42.0036918
NA,TRUE,60026,JEWEL OSCO STORE 1,1340 PATRIOT BLVD.,GLENVIEW,IL,1340 PATRIOT BLVD,JEWEL-OSCO PHARMACY STORE #1,JEWEL-OSCO - 0001,40235883,ILAV09567,1340 PATRIOT BLVD,GLENVIEW,60026,IL,1340 PATRIOT BLVD,JEWEL-OSCO PHARMACY STORE #1,JEWEL-OSCO - 0001,404898853,V09567,1340 PATRIOT BLVD,GLENVIEW,IL,60026,1340 PATRIOT BLVD,"	
JEWEL-OSCO PHARMACY STORE #1",JEWEL-OSCO PHARMACY STORE #1,AB1000001,40167567,1340 PATRIOT BLVD,GLENVIEW,60026,IL,1340 PATRIOT BLVD,JEWEL-OSCO PHARMACY STORE #1,AB1000001,GLENVIEW,1340 PATRIOT BLVD,IL,60026,TRUE,TRUE,TRUE,JEWEL-OSCO PHARMACY STORE #1,TRUE,"1340 PATRIOT BLVD GLENVIEW, IL 60026",-87.8195113,42.0787105
NA,TRUE,60457,JEWEL OSCO STORE 4029,9534 S. ROBERTS ROAD,HICKORY HILLS,IL,9534 S ROBERTS RD,JEWEL-OSCO PHARMACY STORE #4029,JEWEL-OSCO - 4029,40235683,ILAV09558,9534 S ROBERTS RD,HICKORY HILLS,60457,IL,9534 S ROBERTS RD,JEWEL-OSCO PHARMACY STORE #4029,JEWEL-OSCO - 3029,404890729,V09558,9534 S ROBERTS RD,HICKORY HILLS,IL,60457,9534 S ROBERTS RD,"	
JEWEL-OSCO PHARMACY STORE #3029",JEWEL-OSCO PHARMACY STORE #4029,AB1004029,40169803,9534 S ROBERTS RD,HICKORY HILLS,60465,IL,9534 S ROBERTS RD,JEWEL-OSCO PHARMACY STORE #4029,AB1004029,HICKORY HILLS,9534 S ROBERTS RD,IL,60465,TRUE,TRUE,TRUE,JEWEL-OSCO PHARMACY STORE #4029,TRUE,"9534 S ROBERTS RD HICKORY HILLS, IL 60465",-87.81846569999999,41.7173173
V09150,TRUE,60192,JEWEL OSCO STORE 3486,1489 PALATINE RD,HOFFMAN ESTATES,IL,1489 PALATINE RD,JEWEL-OSCO PHARMACY STORE #3486,JEWEL-OSCO - 3486,40193359,ILAV09150,1489 PALATINE RD,HOFFMAN ESTATES,60192,IL,1489 PALATINE RD,JEWEL-OSCO PHARMACY STORE #3486,JEWEL-OSCO - 3486,404890657,V09150,1489 PALATINE RD,HOFFMAN ESTATES,IL,60192,1489 PALATINE RD,"	
JEWEL-OSCO PHARMACY STORE #3486",JEWEL-OSCO PHARMACY STORE #3486,AB1003486,40169661,1489 PALATINE RD,HOFFMAN ESTATES,60067,IL,1489 PALATINE RD,JEWEL-OSCO PHARMACY STORE #3486,AB1003486,HOFFMAN ESTATES,1489 PALATINE RD,IL,60067,TRUE,TRUE,TRUE,JEWEL-OSCO PHARMACY STORE #3486,TRUE,"1489 PALATINE RD HOFFMAN ESTATES, IL 60067",-88.0793295,42.1098425
V09143,TRUE,60430,JEWEL OSCO 3188,17705 HALSTED ST,HOMEWOOD,IL,17705 HALSTED ST,JEWEL-OSCO PHARMACY STORE #3188,JEWEL-OSCO - 3188,40193352,ILAV09143,17705 HALSTED ST,HOMEWOOD,60430,IL,17705 HALSTED ST,JEWEL-OSCO PHARMACY STORE #3188,JEWEL-OSCO - 3188,404898797,V09143,17705 HALSTED ST,HOMEWOOD,IL,60430,17705 HALSTED ST,"	
JEWEL-OSCO PHARMACY STORE #3188",JEWEL-OSCO PHARMACY STORE #3188,AB1003188,40169529,17705 HALSTED ST,HOMEWOOD,60430,IL,17705 HALSTED ST,JEWEL-OSCO PHARMACY STORE #3188,AB1003188,HOMEWOOD,17705 HALSTED ST,IL,60430,TRUE,TRUE,TRUE,JEWEL-OSCO PHARMACY STORE #3188,TRUE,"17705 HALSTED ST HOMEWOOD, IL 60430",-87.6338576,41.567842
V09545,TRUE,60439,JEWEL OSCO 3182,1202 STATE STREET,LEMONT,IL,1202 STATE ST,JEWEL-OSCO PHARMACY STORE #3182,JEWEL-OSCO - 3182,40235635,ILAV09545,1202 STATE ST,LEMONT,60439,IL,1202 STATE ST,JEWEL-OSCO PHARMACY STORE #3182,JEWEL-OSCO - 3182,404890681,V09545,1202 STATE ST,LEMONT,IL,60439,1202 STATE ST,"	
JEWEL-OSCO PHARMACY STORE #3182",JEWEL-OSCO PHARMACY STORE #3182,AB1003182,40169528,1202 STATE STREET,LEMONT,60439,IL,1202 STATE ST,JEWEL-OSCO PHARMACY STORE #3182,AB1003182,LEMONT,1202 STATE ST,IL,60439,TRUE,TRUE,TRUE,JEWEL-OSCO PHARMACY STORE #3182,TRUE,"1202 STATE ST LEMONT, IL 60439",-88.0016001,41.65540730000001
V09554,TRUE,60160,JEWEL OSCO 3290,806 W. NORTH AVENUE,MELROSE PARK,IL,806 W NORTH AVE,JEWEL-OSCO PHARMACY STORE #3290,JEWEL-OSCO - 3290,40235644,ILAV09554,806 W NORTH AVE,MELROSE PARK,60160,IL,806 W NORTH AVE,JEWEL-OSCO PHARMACY STORE #3290,JEWEL-OSCO - 3290,404890693,V09554,806 W NORTH AVE,MELROSE PARK,IL,60160,806 W NORTH AVE,"	
JEWEL-OSCO PHARMACY STORE #3290",JEWEL-OSCO PHARMACY STORE #3290,AB1003290,40169572,806 W. NORTH AVENUE,MELROSE PARK,60160,IL,806 W NORTH AVE,JEWEL-OSCO PHARMACY STORE #3290,AB1003290,MELROSE PARK,806 W NORTH AVE,IL,60160,TRUE,TRUE,TRUE,JEWEL-OSCO PHARMACY STORE #3290,TRUE,"806 W NORTH AVE MELROSE PARK, IL 60160",-87.8436869,41.907778
V09138,TRUE,60803,JEWEL OSCO 2504,3243 W 115TH ST,MERRIONETTE PARK,IL,3243 W 115TH ST,JEWEL-OSCO PHARMACY STORE #2504,JEWEL-OSCO - 2504,40193252,ILAV09138,3243 W 115TH ST,MERRIONETTE PARK,60803,IL,3243 W 115TH ST,JEWEL-OSCO PHARMACY STORE #2504,JEWEL-OSCO - 2504,970468450,V09138,3243 W 115TH ST,MERRIONETTE PARK,IL,60803,3243 W 115TH ST,"	
JEWEL-OSCO PHARMACY STORE #2504",JEWEL-OSCO PHARMACY STORE #2504,AB1002504,40169231,3243 W 115TH STREET,MERRIONETTE PARK,60803,IL,3243 W 115TH ST,JEWEL-OSCO PHARMACY STORE #2504,AB1002504,MERRIONETTE PARK,3243 W 115TH ST,IL,60803,TRUE,TRUE,TRUE,JEWEL-OSCO PHARMACY STORE #2504,TRUE,"3243 W 115TH ST MERRIONETTE PARK, IL 60803",-87.7011536,41.68314669999999
V09148,TRUE,60714,JEWEL OSCO 3429,8730 W DEMPSTER ST,NILES,IL,8730 W DEMPSTER ST,JEWEL-OSCO PHARMACY STORE #3429,JEWEL-OSCO - 3429,40193357,ILAV09148,8730 W DEMPSTER ST,NILES,60714,IL,8730 W DEMPSTER ST,JEWEL-OSCO PHARMACY STORE #3429,JEWEL-OSCO - 3429,404890771,V09148,8730 W DEMPSTER ST,NILES,IL,60714,8730 W DEMPSTER ST,"	
JEWEL-OSCO PHARMACY STORE #3429",JEWEL-OSCO PHARMACY STORE #3429,AB1003429,40169624,8730 W DEMPSTER ST,NILES,60714,IL,8730 W DEMPSTER ST,JEWEL-OSCO PHARMACY STORE #3429,AB1003429,NILES,8730 W DEMPSTER ST,IL,60714,TRUE,TRUE,TRUE,JEWEL-OSCO PHARMACY STORE #3429,TRUE,"8730 W DEMPSTER ST NILES, IL 60714",-87.844183,42.040851
NA,TRUE,60453,JEWEL OSCO 86,8801 S. RIDGELAND,OAK LAWN,IL,8801 S RIDGELAND,JEWEL-OSCO PHARMACY STORE #86,JEWEL-OSCO - 0086,40235641,ILAV09551,8801 RIDGELAND AVE,OAK LAWN,60453,IL,8801 RIDGELAND AVE,JEWEL-OSCO PHARMACY STORE #86,NA,NA,NA,NA,NA,NA,NA,NA,NA,JEWEL-OSCO PHARMACY STORE #86,AB1000086,40168184,8801 S RIDGELAND,OAK LAWN,60453,IL,8801 S RIDGELAND,JEWEL-OSCO PHARMACY STORE #86,AB1000086,OAK LAWN,8801 S RIDGELAND,IL,60453,FALSE,TRUE,TRUE,JEWEL-OSCO PHARMACY STORE #86,TRUE,"8801 S RIDGELAND OAK LAWN, IL 60453",-87.7802962,41.7317346
V09140,TRUE,60462,JEWEL OSCO 3051,9352 W 159TH ST,ORLAND PARK,IL,9352 W 159TH ST,JEWEL-OSCO PHARMACY STORE #3051,JEWEL-OSCO - 3051,40193254,ILAV09140,9352 W 159TH ST,ORLAND PARK,60462,IL,9352 W 159TH ST,JEWEL-OSCO PHARMACY STORE #3051,JEWEL-OSCO - 3051,404883894,V09140,9352 W 159TH ST,ORLAND PARK,IL,60462,9352 W 159TH ST,"	
JEWEL-OSCO PHARMACY STORE #3051",JEWEL-OSCO PHARMACY STORE #3051,AB1003051,40169484,9352 W 159TH ST,ORLAND PARK,60462,IL,9352 W 159TH ST,JEWEL-OSCO PHARMACY STORE #3051,AB1003051,ORLAND PARK,9352 W 159TH ST,IL,60462,TRUE,TRUE,TRUE,JEWEL-OSCO PHARMACY STORE #3051,TRUE,"9352 W 159TH ST ORLAND PARK, IL 60462",-87.847532,41.60344
V09335,TRUE,60067,JEWEL OSCO 3474,423 E. DUNDEE ROAD,PALATINE,IL,423 E DUNDEE RD,JEWEL-OSCO PHARMACY STORE #3474,JEWEL-OSCO - 3474,40228580,ILAV09335,423 E DUNDEE RD,PALATINE,60074,IL,423 E DUNDEE RD,JEWEL-OSCO PHARMACY STORE #3474,JEWEL-OSCO - 3474,404883882,V09335,423 E DUNDEE RD,PALATINE,IL,60074,423 E DUNDEE RD,"	
JEWEL-OSCO PHARMACY STORE #3474",JEWEL-OSCO PHARMACY STORE #3474,AB1003474,40169649,423 E DUNDEE RD,PALATINE,60074,IL,423 E DUNDEE RD,JEWEL-OSCO PHARMACY STORE #3474,AB1003474,PALATINE,423 E DUNDEE RD,IL,60074,TRUE,TRUE,TRUE,JEWEL-OSCO PHARMACY STORE #3474,TRUE,"423 E DUNDEE RD PALATINE, IL 60074",-88.03268949999999,42.1378741
